                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66859,                0.43618,                0.84144,                0.99436,                0.97917,                0.97613,                0.84891,                0.51319,                0.34571,                0.75284,             0.00036674,             0.00036674,             0.00036674
                      2,                0.67375,                0.45801,                0.85151,                0.97565,                0.97662,                0.97395,                0.82182,                0.58606,                0.37754,                0.77255,              0.0007353,              0.0007353,              0.0007353
                      3,                0.73799,                0.48398,                0.85239,                0.99804,                0.97714,                0.98389,                0.84929,                0.59936,                0.41385,                 0.7755,              0.0010887,              0.0010887,              0.0010887
                      4,                0.73303,                0.48525,                0.86258,                0.99453,                0.97469,                0.98141,                0.85645,                0.57243,                0.38805,                0.76683,              0.0014269,              0.0014269,              0.0014269
                      5,                0.71245,                0.48168,                0.84995,                0.99145,                0.97367,                0.97855,                0.82679,                 0.5953,                0.38894,                0.77005,               0.001535,               0.001535,               0.001535
                      6,                0.72592,                0.47716,                0.84936,                  0.996,                0.97917,                0.98797,                0.85122,                 0.6266,                0.37456,                0.77723,               0.001502,               0.001502,               0.001502
                      7,                0.71862,                0.46797,                0.84891,                0.99967,                0.93744,                0.97604,                0.82196,                0.62771,                0.43521,                 0.7767,               0.001469,               0.001469,               0.001469
                      8,                0.70336,                0.45199,                0.85546,                0.99816,                0.97917,                0.97657,                0.79708,                0.68753,                0.40687,                0.79523,               0.001436,               0.001436,               0.001436
                      9,                0.73863,                 0.4634,                0.86198,                0.99472,                0.95242,                0.97737,                0.82222,                0.63391,                0.39555,                0.77805,              0.0014029,              0.0014029,              0.0014029
                     10,                0.70249,                0.43426,                0.86001,                0.99612,                0.95494,                0.97712,                0.82206,                0.62472,                0.37737,                0.77627,              0.0013699,              0.0013699,              0.0013699
                     11,                0.68809,                 0.4199,                0.84443,                0.96284,                0.97917,                0.97818,                 0.8349,                0.59421,                0.39082,                0.76831,              0.0013369,              0.0013369,              0.0013369
                     12,                0.68383,                0.42857,                0.84533,                0.97505,                0.97917,                0.97861,                0.83926,                 0.5919,                0.38418,                0.76772,              0.0013039,              0.0013039,              0.0013039
                     13,                0.70899,                0.42305,                0.86802,                      1,                0.96985,                0.97806,                0.84006,                0.61367,                0.39156,                0.77604,              0.0012709,              0.0012709,              0.0012709
